transaction_id,account_id,type,amount,currency,transaction_date,description
480206647365722,157738271938,WITHDRAWAL,1688.91,USD,2024-06-17 07:40:04,Drive seek ever pretty machine fight fire.
417831765570309,26369490015,TRANSFER,3366.27,USD,2024-10-14 05:29:15,Individual money economic become.
52998970045279,198208051387,DEPOSIT,4227.11,USD,2025-04-26 02:50:36,If minute quality rest church thank bad.
738441540597990,698433307034,DEPOSIT,491.13,USD,2024-12-11 20:40:48,Believe ten alone.
875247913408504,996920789859,TRANSFER,970.61,USD,2024-11-29 04:21:57,Probably section day agent soldier owner defense card.
20383768045481,91293581036,TRANSFER,611.28,USD,2023-08-12 00:50:43,Pass alone exist six now player point.
328207309726615,648756985118,WITHDRAWAL,3630.03,USD,2025-06-08 07:36:24,Federal cost figure cut fall common ground.
240258505221929,111656634155,WITHDRAWAL,3714.5,USD,2023-09-09 17:58:17,Smile actually character end condition particular.
853624886882215,347246790835,WITHDRAWAL,616.89,USD,2025-04-11 14:44:49,Method and vote officer son arm.
529008776121576,547616234456,TRANSFER,481.81,USD,2023-08-14 16:02:12,Site beat many.
2416345220141,57420872452,WITHDRAWAL,948.68,USD,2024-10-01 22:35:06,Western life little measure dream student.
137886710892118,383276551192,DEPOSIT,1815.55,USD,2024-11-25 17:47:06,Team adult identify page Democrat myself.
910916208423835,402168158624,DEPOSIT,4191.84,USD,2025-03-23 08:37:44,Often very go condition.
449826328144554,328050845538,WITHDRAWAL,3605.61,USD,2025-05-26 18:29:00,Day yeah bill watch she lead.
37892113846583,182125363625,TRANSFER,3786.95,USD,2024-02-24 10:11:43,International finally drop ball.
238027858917338,600850046761,TRANSFER,1436.41,USD,2025-07-20 22:47:25,Push low country mother sell.
530988538305940,621238828230,DEPOSIT,1644.23,USD,2025-03-10 17:08:05,Hot probably month ago.
439435468229925,345514089627,TRANSFER,3645.44,USD,2025-07-13 05:50:27,Whole she piece artist lead yes matter.
998112367477933,282447455550,TRANSFER,1250.83,USD,2024-04-01 23:35:46,Night once thus this pressure interesting.
283038417056439,99727367929,WITHDRAWAL,2058.9,USD,2024-11-03 14:48:50,Leave capital final able.
910248946564817,970450263160,DEPOSIT,3229.96,USD,2023-08-16 09:44:39,Car case audience child vote if program.
871137554487975,821919416682,TRANSFER,1747.39,USD,2025-01-01 11:33:41,Laugh notice always simple value artist office.
80851606813001,818163248432,DEPOSIT,2663.51,USD,2024-09-26 22:16:13,Development seat stage federal.
849004583230433,512789843340,TRANSFER,4415.09,USD,2023-12-11 19:52:52,Team theory trial.
