customer_id,first_name,last_name,email,phone_number,created_at
1175220288,Miguel,Miranda,elizabeth12@example.com,+1-848-980-8663x5186,2022-11-08 16:27:56
608777649,Rebecca,Smith,shannongarcia@example.com,001-795-453-3152x9557,2024-04-05 04:29:59
5071231726,Kimberly,Taylor,wolfkevin@example.com,(790)340-9371,2020-02-23 06:21:31
6226301782,Scott,Flowers,matthewdavis@example.org,769.852.9310x0399,2024-11-15 14:31:20
8113244262,Sean,Stevens,erincole@example.net,(683)527-7617x04396,2025-04-21 16:02:31
3629876206,Lisa,Macias,dgordon@example.net,+1-545-457-1501,2023-03-01 18:47:52
1921238861,Joann,Johnson,amy20@example.net,001-914-933-2047x58022,2021-09-15 10:04:34
8040724404,Kevin,Greene,daisybaker@example.org,(728)370-0531x11762,2022-10-09 03:01:42
6655521628,Kendra,Bailey,william11@example.com,(680)666-2412x279,2025-04-25 10:05:48
8210893910,Robert,Holloway,matthew36@example.net,001-234-575-4250x105,2023-07-26 03:05:50
5341948049,Juan,Martinez,bradley95@example.net,686.509.1314x20290,2022-06-29 03:49:23
9114154731,Kyle,Patterson,gbaldwin@example.net,704-687-5144x71391,2021-02-24 06:55:11
7115678637,Ricardo,Kelly,cartertimothy@example.org,672.680.6042,2021-11-19 12:29:04
2736982397,Lawrence,Lucas,morrisonjonathan@example.org,641-470-9229,2025-06-26 23:24:25
5938931215,Richard,Mccann,vpotter@example.org,202-843-0122,2024-02-11 18:57:23
9072089129,Matthew,Wagner,tyleralexander@example.org,894-206-6559x417,2023-07-22 17:39:49
7311915275,Shawn,Bell,xwise@example.net,257-825-7200,2020-04-03 12:50:56
1833481851,Norman,Beck,mendozarichard@example.com,(216)969-8070x08033,2023-10-23 06:51:47
5974166620,Rachael,Williams,michellegarner@example.com,892-941-0973,2023-01-25 09:13:31
2189422192,Joseph,Zavala,dudleymichael@example.com,840-848-2449x8289,2021-03-20 01:31:31
1582210138,Nathaniel,Carr,vbrown@example.org,385-528-9008x3079,2024-05-18 23:20:58
1840927036,Riley,Sellers,jeff23@example.org,5726256487,2021-03-30 11:18:21
21306002,Danielle,Briggs,nathansimpson@example.org,965-795-9417x10267,2025-03-10 12:35:35
8881870438,Ryan,Miles,justin44@example.org,841-306-9217x824,2020-09-21 15:27:08
2703681228,Hannah,Barnes,kylewhite@example.net,208-857-3158x61521,2020-06-29 23:43:39
7927644417,John,Anderson,melinda65@example.net,(861)619-1934,2024-06-20 02:42:25
3025595903,Carol,Johnson,goldenkaitlin@example.com,+1-894-600-1545x645,2025-08-04 05:02:34
7142332759,Eric,Jennings,angel55@example.net,001-674-982-7877,2021-07-24 21:56:43
8386328969,Joseph,Guerrero,michellemitchell@example.net,+1-942-288-2768x5406,2023-10-08 04:39:32
9283382392,Kimberly,Pierce,riveradiane@example.net,222-774-8631x6054,2020-12-28 11:40:12
7387653828,Michael,Williams,cassidy54@example.com,001-607-507-0909x306,2022-01-17 04:14:46
9887043311,Emily,Garcia,douglasmartinez@example.com,(416)919-0328x6618,2023-04-05 09:05:05
4903551844,Jonathan,Bauer,brookelee@example.org,217.955.5453,2024-09-04 16:33:05
2775397106,Daniel,Hughes,nhawkins@example.com,(857)233-6438x222,2021-12-12 13:03:52
4266288430,Tom,Brown,oliverwilliam@example.net,(475)792-2327,2021-07-29 10:02:52
3002453332,Logan,Roberson,amandagutierrez@example.net,+1-442-839-4105x77619,2023-06-24 11:17:25
9026201623,Paul,Holmes,ikennedy@example.com,533-793-9857x924,2021-07-19 12:52:54
380010343,Angela,Martin,robert56@example.com,001-793-520-3339,2020-03-05 11:53:14
9900247287,Linda,Nash,esullivan@example.org,(882)904-0032,2022-01-22 03:25:00
646710810,Kim,Rose,vwalker@example.net,536-520-7285x13398,2023-09-27 16:00:47
2321863317,Lisa,Jones,varellano@example.org,434.549.1875,2021-01-16 18:54:44
7386190582,Jason,Reynolds,nancyspears@example.com,661-955-3887x684,2023-12-21 11:17:42
