account_id,customer_id,account_type,balance,currency,status,opened_at,closed_at
157738271938,2373552302,LOAN,38302.26,USD,CLOSED,2021-08-17 18:03:53,
26369490015,3220284819,CHECKING,93563.02,USD,INACTIVE,2022-08-20 03:04:25,
198208051387,4496253957,LOAN,35622.24,USD,CLOSED,2022-11-09 21:01:29,
698433307034,372331161,LOAN,49335.09,USD,CLOSED,2023-08-18 20:30:58,
996920789859,5475870715,SAVINGS,36866.89,USD,INACTIVE,2021-04-06 16:23:43,
91293581036,8340822325,CHECKING,19142.57,USD,ACTIVE,2025-03-06 06:40:03,
648756985118,1969864480,CHECKING,49398.7,USD,ACTIVE,2020-11-12 04:04:25,
111656634155,196977225,SAVINGS,1727.7,USD,INACTIVE,2023-01-16 18:51:21,
347246790835,9437287600,LOAN,67729.9,USD,CLOSED,2020-02-25 23:25:04,
547616234456,1258067117,SAVINGS,73852.77,USD,INACTIVE,2021-09-25 00:07:17,
57420872452,5441207524,LOAN,83244.66,USD,CLOSED,2024-01-05 13:56:31,
383276551192,9816857112,SAVINGS,66611.27,USD,ACTIVE,2020-01-27 14:40:22,
402168158624,5676142351,CHECKING,93560.48,USD,CLOSED,2021-03-23 12:29:54,
328050845538,2984909583,SAVINGS,49946.9,USD,ACTIVE,2022-08-11 20:30:42,
182125363625,624798638,LOAN,55814.54,USD,ACTIVE,2020-08-07 15:13:26,
600850046761,450097696,LOAN,26717.64,USD,INACTIVE,2021-04-08 02:19:41,
621238828230,7262220807,LOAN,54199.03,USD,ACTIVE,2020-02-27 06:39:58,
345514089627,5323345196,SAVINGS,85615.46,USD,ACTIVE,2021-08-22 14:15:22,
282447455550,8416050298,LOAN,10969.88,USD,INACTIVE,2021-08-13 01:50:03,
99727367929,4609214717,LOAN,68621.07,USD,ACTIVE,2024-12-31 23:09:09,
970450263160,5303062421,SAVINGS,24213.61,USD,CLOSED,2025-03-13 19:58:12,
821919416682,6154337338,SAVINGS,70956.29,USD,CLOSED,2022-07-23 13:13:14,
818163248432,4226861635,SAVINGS,18741.18,USD,ACTIVE,2022-03-19 11:11:37,
512789843340,4186689030,LOAN,76629.1,USD,CLOSED,2020-06-23 00:08:59,
635945595617,7910767577,SAVINGS,81451.03,USD,ACTIVE,2020-04-30 16:20:44,
956428940216,7114387023,SAVINGS,69548.43,USD,CLOSED,2024-07-13 22:31:25,
133339258278,2403266029,CHECKING,15403.34,USD,ACTIVE,2023-04-27 17:09:03,
888748739791,4836634905,CHECKING,85310.34,USD,INACTIVE,2020-08-16 20:36:51,
16900627555,9710911922,LOAN,55530.93,USD,INACTIVE,2024-11-12 10:54:47,
837867250978,216588996,SAVINGS,23842.25,USD,CLOSED,2021-03-05 07:45:10,
497086455627,2372153794,LOAN,44233.56,USD,CLOSED,2023-03-06 17:13:04,
721574649603,4576316150,CHECKING,90793.65,USD,ACTIVE,2024-10-16 05:51:48,
28505654967,3324189797,SAVINGS,61283.32,USD,INACTIVE,2020-08-15 22:09:31,
792628331121,576753965,SAVINGS,97480.24,USD,CLOSED,2022-01-25 05:19:42,
995310467716,7135949789,LOAN,8619.73,USD,CLOSED,2024-02-24 23:06:47,
309282627033,252469546,SAVINGS,19758.3,USD,INACTIVE,2020-12-22 23:22:26,
423929585683,3661746421,LOAN,97716.54,USD,CLOSED,2022-05-23 04:19:41,
392332154702,932832564,LOAN,96538.42,USD,CLOSED,2021-08-13 06:50:42,
572918940444,5255092707,CHECKING,55946.3,USD,INACTIVE,2025-06-04 01:35:45,
574700133048,4522433825,SAVINGS,24526.84,USD,ACTIVE,2020-10-13 08:21:14,
160169794888,884866147,SAVINGS,35430.84,USD,CLOSED,2020-01-02 21:16:51,
109595859467,461924463,SAVINGS,6847.43,USD,ACTIVE,2022-03-12 01:17:58,
135604054751,4010044062,SAVINGS,67171.98,USD,INACTIVE,2021-07-28 10:19:48,
954740998409,3542435899,SAVINGS,20992.6,USD,INACTIVE,2024-06-28 23:28:22,
652310133887,3713566217,SAVINGS,88857.86,USD,CLOSED,2023-11-25 18:18:33,
486484882431,1582244007,SAVINGS,48659.36,USD,CLOSED,2024-11-23 20:06:46,
268163120557,5592528078,LOAN,67732.62,USD,ACTIVE,2024-10-13 10:15:26,
789753570391,8778426633,CHECKING,83832.73,USD,INACTIVE,2020-11-23 08:20:46,
858411822268,1581060913,LOAN,2926.47,USD,CLOSED,2022-03-12 02:41:27,
593153171923,7906597407,CHECKING,19481.35,USD,ACTIVE,2024-12-01 03:37:10,
972848444783,1312092264,LOAN,55580.63,USD,INACTIVE,2022-12-17 01:36:22,
172873913388,6166751101,SAVINGS,41852.29,USD,INACTIVE,2024-11-05 17:44:27,
562846425467,8381575365,SAVINGS,75452.05,USD,ACTIVE,2024-10-24 12:55:09,
298500065230,7894071070,CHECKING,15078.93,USD,ACTIVE,2023-07-15 01:54:49,
114001307326,9381036041,LOAN,24248.99,USD,CLOSED,2024-02-14 23:11:20,
987208932529,6983870205,CHECKING,98870.72,USD,ACTIVE,2022-04-20 21:35:12,
864457088740,5089672989,SAVINGS,51798.58,USD,ACTIVE,2024-10-15 11:03:50,
165184326641,6570380875,CHECKING,28517.19,USD,CLOSED,2022-06-02 21:29:02,
5476934335,2263607443,LOAN,39109.53,USD,INACTIVE,2025-07-18 02:00:57,
925295532158,6629633045,LOAN,35206.21,USD,INACTIVE,2023-08-07 00:46:30,
545815848836,6410862323,LOAN,34448.52,USD,CLOSED,2025-04-29 23:09:31,
810375967800,5205188360,CHECKING,37310.77,USD,ACTIVE,2021-08-31 15:19:46,
673274561005,1936235459,SAVINGS,9533.45,USD,INACTIVE,2024-05-12 01:27:17,
650992236111,1329652712,SAVINGS,51547.73,USD,INACTIVE,2020-10-19 15:45:58,
179111356339,90327334,CHECKING,92463.95,USD,ACTIVE,2021-01-29 17:05:04,
713127388953,1735056863,LOAN,63587.35,USD,INACTIVE,2020-12-23 12:51:45,
251293322517,1083062094,SAVINGS,46756.63,USD,INACTIVE,2021-11-19 08:44:29,
643607294050,79843684,SAVINGS,36347.49,USD,INACTIVE,2023-06-22 01:17:34,
743215630891,3255936409,CHECKING,41134.54,USD,INACTIVE,2023-03-19 10:24:10,
662105167055,1516794209,CHECKING,27655.32,USD,CLOSED,2024-06-10 19:05:19,
315403515263,4228463969,SAVINGS,3682.9,USD,ACTIVE,2023-11-19 18:56:13,
564245431268,4131266637,CHECKING,97529.56,USD,CLOSED,2021-09-20 07:32:43,
977372598178,1955726097,LOAN,75842.34,USD,INACTIVE,2022-01-04 11:13:35,
715786498348,2307731001,CHECKING,81672.78,USD,ACTIVE,2024-09-15 03:25:54,
458594220606,5479667509,CHECKING,4125.05,USD,CLOSED,2021-08-31 21:16:16,
614132415440,122958864,LOAN,29090.37,USD,ACTIVE,2020-08-10 03:51:59,
815698123037,7438379404,LOAN,61955.54,USD,INACTIVE,2023-08-28 12:42:05,
594281179812,6776456783,LOAN,83282.18,USD,INACTIVE,2022-10-21 12:16:28,
733102183224,7789519966,CHECKING,32727.41,USD,INACTIVE,2020-08-10 09:18:17,
88728559577,5324262708,SAVINGS,44594.66,USD,INACTIVE,2020-06-12 20:49:47,
341727654282,2962232967,SAVINGS,32789.28,USD,CLOSED,2025-01-19 20:54:46,
235891096574,8842478929,SAVINGS,77608.25,USD,CLOSED,2022-08-14 08:04:14,
691272258183,8187392290,CHECKING,52080.83,USD,INACTIVE,2020-02-20 02:26:57,
986850954868,3231140435,SAVINGS,24908.71,USD,INACTIVE,2023-05-14 14:53:57,
269316674302,3362935126,LOAN,95064.14,USD,CLOSED,2020-05-03 14:32:44,
772813568436,1206023742,CHECKING,69731.3,USD,INACTIVE,2022-09-30 15:26:33,
442728599763,9697902665,LOAN,21994.55,USD,INACTIVE,2020-08-22 03:09:52,
260557660197,5031693604,CHECKING,62892.8,USD,INACTIVE,2022-04-28 21:36:37,
594308765066,7267811824,SAVINGS,64741.18,USD,CLOSED,2023-08-06 08:51:55,
178998498358,8744494261,SAVINGS,2181.06,USD,ACTIVE,2024-04-11 06:49:59,
340513582964,3144651048,LOAN,76235.51,USD,INACTIVE,2025-07-27 09:15:25,
838672144509,5768103385,SAVINGS,92113.0,USD,CLOSED,2021-02-27 09:46:36,
904936240428,7522420328,LOAN,99021.73,USD,CLOSED,2022-06-30 10:26:21,
152298575238,683302330,LOAN,48855.84,USD,INACTIVE,2022-03-31 01:26:37,
976419083608,7513784158,CHECKING,25436.22,USD,INACTIVE,2023-08-23 15:43:24,
959516413842,1952366700,CHECKING,64294.3,USD,ACTIVE,2024-12-09 16:37:45,
997860752291,671368487,SAVINGS,58524.71,USD,INACTIVE,2022-06-30 02:38:18,
745729326242,4849108240,SAVINGS,14900.01,USD,CLOSED,2023-11-15 22:04:50,
